# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
2 2 0 6abe30
3 2 0 6abe30
4 2 0 6abe30
5 2 0 6abe30
6 2 0 6abe30
7 2 0 6abe30
8 2 0 6abe30
9 2 0 6abe30
10 2 0 6abe30
11 2 0 6abe30
12 2 0 6abe30
13 2 0 6abe30
2 3 0 6abe30
3 3 0 6abe30
4 3 0 6abe30
5 3 0 6abe30
6 3 0 6abe30
7 3 0 6abe30
8 3 0 6abe30
9 3 0 6abe30
10 3 0 6abe30
11 3 0 6abe30
12 3 0 6abe30
13 3 0 6abe30
2 4 0 6abe30
3 4 0 6abe30
4 4 0 6abe30
5 4 0 6abe30
6 4 0 6abe30
7 4 0 6abe30
8 4 0 6abe30
9 4 0 6abe30
10 4 0 6abe30
11 4 0 6abe30
12 4 0 6abe30
13 4 0 6abe30
2 5 0 6abe30
3 5 0 6abe30
4 5 0 6abe30
5 5 0 6abe30
6 5 0 6abe30
7 5 0 6abe30
8 5 0 6abe30
9 5 0 6abe30
10 5 0 6abe30
11 5 0 6abe30
12 5 0 6abe30
13 5 0 6abe30
2 6 0 6abe30
3 6 0 6abe30
4 6 0 6abe30
5 6 0 6abe30
6 6 0 6abe30
7 6 0 6abe30
8 6 0 6abe30
9 6 0 6abe30
10 6 0 6abe30
11 6 0 6abe30
12 6 0 6abe30
13 6 0 6abe30
2 7 0 6abe30
3 7 0 6abe30
4 7 0 6abe30
5 7 0 6abe30
6 7 0 6abe30
7 7 0 6abe30
8 7 0 6abe30
9 7 0 6abe30
10 7 0 6abe30
11 7 0 6abe30
12 7 0 6abe30
13 7 0 6abe30
2 8 0 6abe30
3 8 0 6abe30
4 8 0 6abe30
5 8 0 6abe30
6 8 0 6abe30
7 8 0 6abe30
8 8 0 6abe30
9 8 0 6abe30
10 8 0 6abe30
11 8 0 6abe30
12 8 0 6abe30
13 8 0 6abe30
2 9 0 6abe30
3 9 0 6abe30
4 9 0 6abe30
5 9 0 6abe30
6 9 0 6abe30
7 9 0 6abe30
8 9 0 6abe30
9 9 0 6abe30
10 9 0 6abe30
11 9 0 6abe30
12 9 0 6abe30
13 9 0 6abe30
2 10 0 6abe30
3 10 0 6abe30
4 10 0 6abe30
5 10 0 6abe30
6 10 0 6abe30
7 10 0 6abe30
8 10 0 6abe30
9 10 0 6abe30
10 10 0 6abe30
11 10 0 6abe30
12 10 0 6abe30
13 10 0 6abe30
2 11 0 6abe30
3 11 0 6abe30
4 11 0 6abe30
5 11 0 6abe30
6 11 0 6abe30
7 11 0 6abe30
8 11 0 6abe30
9 11 0 6abe30
10 11 0 6abe30
11 11 0 6abe30
12 11 0 6abe30
13 11 0 6abe30
2 12 0 6abe30
3 12 0 6abe30
4 12 0 6abe30
5 12 0 6abe30
6 12 0 6abe30
7 12 0 6abe30
8 12 0 6abe30
9 12 0 6abe30
10 12 0 6abe30
11 12 0 6abe30
12 12 0 6abe30
13 12 0 6abe30
2 13 0 6abe30
3 13 0 6abe30
4 13 0 6abe30
5 13 0 6abe30
6 13 0 6abe30
7 13 0 6abe30
8 13 0 6abe30
9 13 0 6abe30
10 13 0 6abe30
11 13 0 6abe30
12 13 0 6abe30
13 13 0 6abe30
4 4 1 df7126
6 4 1 df7126
9 4 1 df7126
11 4 1 df7126
4 5 1 df7126
5 5 1 df7126
6 5 1 df7126
9 5 1 df7126
10 5 1 df7126
11 5 1 df7126
4 6 1 df7126
5 6 1 df7126
6 6 1 df7126
9 6 1 df7126
10 6 1 df7126
11 6 1 df7126
4 7 1 df7126
6 7 1 df7126
9 7 1 df7126
11 7 1 df7126
5 6 2 df7126
10 6 2 df7126
5 5 3 ffffff
6 5 3 ffffff
7 5 3 ffffff
8 5 3 ffffff
9 5 3 ffffff
10 5 3 ffffff
5 6 3 ffffff
6 6 3 ffffff
7 6 3 ffffff
8 6 3 ffffff
9 6 3 ffffff
10 6 3 ffffff
5 7 3 ffffff
6 7 3 ffffff
7 7 3 ffffff
8 7 3 ffffff
9 7 3 ffffff
10 7 3 ffffff
5 8 3 ffffff
6 8 3 ffffff
7 8 3 ffffff
8 8 3 ffffff
9 8 3 ffffff
10 8 3 ffffff
5 9 3 ffffff
6 9 3 ffffff
7 9 3 ffffff
8 9 3 ffffff
9 9 3 ffffff
10 9 3 ffffff
5 10 3 ffffff
6 10 3 ffffff
7 10 3 ffffff
8 10 3 ffffff
9 10 3 ffffff
10 10 3 ffffff
6 11 3 ffffff
7 11 3 ffffff
8 11 3 ffffff
9 11 3 ffffff
5 5 4 ffffff
6 5 4 ffffff
7 5 4 ffffff
8 5 4 ffffff
9 5 4 ffffff
10 5 4 ffffff
5 6 4 ffffff
6 6 4 ffffff
7 6 4 ffffff
8 6 4 ffffff
9 6 4 ffffff
10 6 4 ffffff
4 7 4 ffffff
5 7 4 ffffff
6 7 4 ffffff
7 7 4 ffffff
8 7 4 ffffff
9 7 4 ffffff
10 7 4 ffffff
11 7 4 ffffff
4 8 4 ffffff
5 8 4 ffffff
6 8 4 ffffff
7 8 4 ffffff
8 8 4 ffffff
9 8 4 ffffff
10 8 4 ffffff
11 8 4 ffffff
4 9 4 ffffff
5 9 4 ffffff
6 9 4 ffffff
7 9 4 ffffff
8 9 4 ffffff
9 9 4 ffffff
10 9 4 ffffff
11 9 4 ffffff
4 10 4 ffffff
5 10 4 ffffff
6 10 4 ffffff
7 10 4 ffffff
8 10 4 ffffff
9 10 4 ffffff
10 10 4 ffffff
11 10 4 ffffff
4 11 4 ffffff
6 11 4 ffffff
7 11 4 ffffff
8 11 4 ffffff
9 11 4 ffffff
11 11 4 ffffff
5 5 5 ffffff
6 5 5 ffffff
7 5 5 ffffff
8 5 5 ffffff
9 5 5 ffffff
10 5 5 ffffff
5 6 5 ffffff
6 6 5 ffffff
7 6 5 ffffff
8 6 5 ffffff
9 6 5 ffffff
10 6 5 ffffff
4 7 5 ffffff
5 7 5 ffffff
6 7 5 ffffff
7 7 5 ffffff
8 7 5 ffffff
9 7 5 ffffff
10 7 5 ffffff
11 7 5 ffffff
4 8 5 ffffff
5 8 5 ffffff
6 8 5 ffffff
7 8 5 ffffff
8 8 5 ffffff
9 8 5 ffffff
10 8 5 ffffff
11 8 5 ffffff
4 9 5 ffffff
5 9 5 ffffff
6 9 5 ffffff
7 9 5 ffffff
8 9 5 ffffff
9 9 5 ffffff
10 9 5 ffffff
11 9 5 ffffff
4 10 5 ffffff
5 10 5 ffffff
6 10 5 ffffff
7 10 5 ffffff
8 10 5 ffffff
9 10 5 ffffff
10 10 5 ffffff
11 10 5 ffffff
6 11 5 ffffff
7 11 5 ffffff
8 11 5 ffffff
9 11 5 ffffff
7 12 5 ffffff
8 12 5 ffffff
7 4 6 ac3232
8 4 6 ac3232
5 5 6 ffffff
6 5 6 ffffff
7 5 6 ac3232
8 5 6 ac3232
9 5 6 ffffff
10 5 6 ffffff
5 6 6 ffffff
6 6 6 ffffff
7 6 6 ffffff
8 6 6 ffffff
9 6 6 ffffff
10 6 6 ffffff
5 7 6 ffffff
6 7 6 ffffff
7 7 6 ffffff
8 7 6 ffffff
9 7 6 ffffff
10 7 6 ffffff
5 8 6 ffffff
6 8 6 ffffff
7 8 6 ffffff
8 8 6 ffffff
9 8 6 ffffff
10 8 6 ffffff
5 9 6 ffffff
6 9 6 ffffff
7 9 6 ffffff
8 9 6 ffffff
9 9 6 ffffff
10 9 6 ffffff
5 10 6 ffffff
6 10 6 ffffff
7 10 6 ffffff
8 10 6 ffffff
9 10 6 ffffff
10 10 6 ffffff
6 11 6 ffffff
7 11 6 ffffff
8 11 6 ffffff
9 11 6 ffffff
7 12 6 ffffff
8 12 6 ffffff
7 3 7 df7126
8 3 7 df7126
7 4 7 df7126
8 4 7 df7126
5 5 7 ffffff
6 5 7 ffffff
7 5 7 ffffff
8 5 7 ffffff
9 5 7 ffffff
10 5 7 ffffff
5 6 7 ffffff
6 6 7 ffffff
7 6 7 ffffff
8 6 7 ffffff
9 6 7 ffffff
10 6 7 ffffff
5 7 7 ffffff
6 7 7 ffffff
7 7 7 ffffff
8 7 7 ffffff
9 7 7 ffffff
10 7 7 ffffff
5 8 7 ffffff
6 8 7 ffffff
7 8 7 ffffff
8 8 7 ffffff
9 8 7 ffffff
10 8 7 ffffff
5 9 7 ffffff
6 9 7 ffffff
7 9 7 ffffff
8 9 7 ffffff
9 9 7 ffffff
10 9 7 ffffff
6 10 7 ffffff
7 10 7 ffffff
8 10 7 ffffff
9 10 7 ffffff
7 11 7 ffffff
8 11 7 ffffff
7 3 8 df7126
8 3 8 df7126
7 4 8 df7126
8 4 8 df7126
5 5 8 ffffff
6 5 8 ffffff
7 5 8 ffffff
8 5 8 ffffff
9 5 8 ffffff
10 5 8 ffffff
5 6 8 ffffff
6 6 8 ffffff
7 6 8 ffffff
8 6 8 ffffff
9 6 8 ffffff
10 6 8 ffffff
5 7 8 ffffff
6 7 8 ffffff
7 7 8 ffffff
8 7 8 ffffff
9 7 8 ffffff
10 7 8 ffffff
5 8 8 ffffff
6 8 8 ffffff
7 8 8 ffffff
8 8 8 ffffff
9 8 8 ffffff
10 8 8 ffffff
5 9 8 ffffff
6 9 8 ffffff
7 9 8 ffffff
8 9 8 ffffff
9 9 8 ffffff
10 9 8 ffffff
7 10 8 ffffff
8 10 8 ffffff
5 5 9 ffffff
6 5 9 ffffff
7 5 9 ffffff
8 5 9 ffffff
9 5 9 ffffff
10 5 9 ffffff
5 6 9 000000
6 6 9 ffffff
7 6 9 ffffff
8 6 9 ffffff
9 6 9 ffffff
10 6 9 000000
5 7 9 ffffff
6 7 9 ffffff
7 7 9 ffffff
8 7 9 ffffff
9 7 9 ffffff
10 7 9 ffffff
5 8 9 ffffff
6 8 9 ffffff
7 8 9 ffffff
8 8 9 ffffff
9 8 9 ffffff
10 8 9 ffffff
5 9 9 ffffff
6 9 9 ffffff
7 9 9 ffffff
8 9 9 ffffff
9 9 9 ffffff
10 9 9 ffffff
5 5 10 ffffff
6 5 10 ffffff
7 5 10 ffffff
8 5 10 ffffff
9 5 10 ffffff
10 5 10 ffffff
5 6 10 ffffff
6 6 10 ffffff
7 6 10 ffffff
8 6 10 ffffff
9 6 10 ffffff
10 6 10 ffffff
5 7 10 ffffff
6 7 10 ffffff
7 7 10 ffffff
8 7 10 ffffff
9 7 10 ffffff
10 7 10 ffffff
5 8 10 ffffff
6 8 10 ffffff
7 8 10 ffffff
8 8 10 ffffff
9 8 10 ffffff
10 8 10 ffffff
5 9 10 ffffff
6 9 10 ffffff
7 9 10 ffffff
8 9 10 ffffff
9 9 10 ffffff
10 9 10 ffffff
7 5 11 ac3232
8 5 11 ac3232
7 6 11 ac3232
8 6 11 ac3232
7 7 11 ac3232
8 7 11 ac3232
7 8 11 ac3232
8 8 11 ac3232
7 5 12 ac3232
8 5 12 ac3232
7 6 12 ac3232
8 6 12 ac3232
7 7 12 ac3232
8 7 12 ac3232
7 8 12 ac3232
8 8 12 ac3232
