# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
5 5 0 ff0000
6 5 0 ff0000
7 5 0 ff0000
8 5 0 ff0000
9 5 0 ff0000
10 5 0 ff0000
5 6 0 ff0000
10 6 0 ff0000
5 7 0 ff0000
10 7 0 ff0000
5 8 0 ff0000
10 8 0 ff0000
5 9 0 ff0000
10 9 0 ff0000
5 10 0 ff0000
6 10 0 ff0000
7 10 0 ff0000
8 10 0 ff0000
9 10 0 ff0000
10 10 0 ff0000
5 5 1 ff0000
10 5 1 ff0000
5 10 1 ff0000
10 10 1 ff0000
5 5 2 ff0000
10 5 2 ff0000
5 10 2 ff0000
10 10 2 ff0000
5 5 3 ff0000
10 5 3 ff0000
5 10 3 ff0000
10 10 3 ff0000
5 5 4 ff0000
6 5 4 ff0000
7 5 4 ff0000
8 5 4 ff0000
9 5 4 ff0000
10 5 4 ff0000
5 6 4 ff0000
10 6 4 ff0000
5 7 4 ff0000
10 7 4 ff0000
5 8 4 ff0000
10 8 4 ff0000
5 9 4 ff0000
10 9 4 ff0000
5 10 4 ff0000
6 10 4 ff0000
7 10 4 ff0000
8 10 4 ff0000
9 10 4 ff0000
10 10 4 ff0000
