# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
5 5 0 ff0000
6 5 0 ff0000
7 5 0 ff0000
8 5 0 ff0000
9 5 0 ff0000
10 5 0 ff0000
5 6 0 ff0000
6 6 0 0000ff
7 6 0 0000ff
8 6 0 0000ff
9 6 0 0000ff
10 6 0 ff0000
5 7 0 ff0000
6 7 0 0000ff
7 7 0 0000ff
8 7 0 0000ff
9 7 0 0000ff
10 7 0 ff0000
5 8 0 ff0000
6 8 0 0000ff
7 8 0 0000ff
8 8 0 0000ff
9 8 0 0000ff
10 8 0 ff0000
5 9 0 ff0000
6 9 0 0000ff
7 9 0 0000ff
8 9 0 0000ff
9 9 0 0000ff
10 9 0 ff0000
5 10 0 ff0000
6 10 0 ff0000
7 10 0 ff0000
8 10 0 ff0000
9 10 0 ff0000
10 10 0 ff0000
5 5 1 ff0000
6 5 1 0000ff
7 5 1 0000ff
8 5 1 0000ff
9 5 1 0000ff
10 5 1 ff0000
5 6 1 0000ff
10 6 1 0000ff
5 7 1 0000ff
10 7 1 0000ff
5 8 1 0000ff
10 8 1 0000ff
5 9 1 0000ff
10 9 1 0000ff
5 10 1 ff0000
6 10 1 0000ff
7 10 1 0000ff
8 10 1 0000ff
9 10 1 0000ff
10 10 1 ff0000
5 5 2 ff0000
6 5 2 0000ff
7 5 2 0000ff
8 5 2 0000ff
9 5 2 0000ff
10 5 2 ff0000
5 6 2 0000ff
10 6 2 0000ff
5 7 2 0000ff
10 7 2 0000ff
5 8 2 0000ff
10 8 2 0000ff
5 9 2 0000ff
10 9 2 0000ff
5 10 2 ff0000
6 10 2 0000ff
7 10 2 0000ff
8 10 2 0000ff
9 10 2 0000ff
10 10 2 ff0000
5 5 3 ff0000
6 5 3 0000ff
7 5 3 0000ff
8 5 3 0000ff
9 5 3 0000ff
10 5 3 ff0000
5 6 3 0000ff
10 6 3 0000ff
5 7 3 0000ff
10 7 3 0000ff
5 8 3 0000ff
10 8 3 0000ff
5 9 3 0000ff
10 9 3 0000ff
5 10 3 ff0000
6 10 3 0000ff
7 10 3 0000ff
8 10 3 0000ff
9 10 3 0000ff
10 10 3 ff0000
5 5 4 ff0000
6 5 4 ff0000
7 5 4 ff0000
8 5 4 ff0000
9 5 4 ff0000
10 5 4 ff0000
5 6 4 ff0000
6 6 4 0000ff
7 6 4 0000ff
8 6 4 0000ff
9 6 4 0000ff
10 6 4 ff0000
5 7 4 ff0000
6 7 4 0000ff
7 7 4 0000ff
8 7 4 0000ff
9 7 4 0000ff
10 7 4 ff0000
5 8 4 ff0000
6 8 4 0000ff
7 8 4 0000ff
8 8 4 0000ff
9 8 4 0000ff
10 8 4 ff0000
5 9 4 ff0000
6 9 4 0000ff
7 9 4 0000ff
8 9 4 0000ff
9 9 4 0000ff
10 9 4 ff0000
5 10 4 ff0000
6 10 4 ff0000
7 10 4 ff0000
8 10 4 ff0000
9 10 4 ff0000
10 10 4 ff0000
